CustomerID,Monthly Charges,Total Charges,Payment Method,Paperless Billing,CLTV
3668-QPYBK,53.85,108.15,Mailed check,Yes,3239
9237-HQITU,70.7,151.65,Electronic check,Yes,2701
9305-CDSKC,99.65,820.5,Electronic check,Yes,5372
7892-POOKP,104.8,3046.05,Electronic check,Yes,5003
0280-XJGEX,103.7,5036.3,Bank transfer (automatic),Yes,5340
4190-MFLUW,55.2,528.35,Credit card (automatic),No,5925
8779-QRDMV,39.65,39.65,Electronic check,Yes,5433
1066-JKSGK,20.15,20.15,Mailed check,No,4832
6467-CHFZW,99.35,4749.15,Electronic check,Yes,5789
8665-UTDHZ,30.2,30.2,Electronic check,No,2915
8773-HHUOZ,64.7,1093.1,Mailed check,Yes,3022
6047-YHPVI,69.7,316.9,Electronic check,Yes,2454
5380-WJKOV,106.35,3549.25,Electronic check,Yes,2941
8168-UQWWF,97.85,1105.4,Bank transfer (automatic),Yes,5674
7760-OYPDY,80.65,144.15,Electronic check,Yes,5586
9420-LOJKX,99.1,1426.4,Credit card (automatic),Yes,2966
7495-OOKFY,80.65,633.3,Credit card (automatic),Yes,5302
1658-BYGOY,95.45,1752.55,Electronic check,Yes,3179
5698-BQJOH,94.4,857.25,Electronic check,No,5571
5919-TMRGD,79.35,79.35,Electronic check,Yes,2483
9191-MYQKX,75.15,496.9,Bank transfer (automatic),Yes,3457
8637-XJIVR,78.95,927.35,Electronic check,Yes,5806
0278-YXOOG,21.05,113.85,Mailed check,No,2604
4598-XLKNJ,98.5,2514.5,Electronic check,Yes,5337
3192-NQECA,110.0,7611.85,Bank transfer (automatic),Yes,5034
0486-HECZI,96.75,5238.9,Electronic check,Yes,5154
4846-WHAFZ,76.5,2868.15,Electronic check,Yes,2793
5299-RULOA,100.25,1064.65,Electronic check,Yes,5998
0404-SWRVG,74.4,229.55,Electronic check,Yes,4415
4412-YLTKF,78.05,2135.5,Electronic check,Yes,4638
6207-WIOLX,58.6,1502.65,Credit card (automatic),Yes,4190
3091-FYHKI,35.45,35.45,Electronic check,Yes,2301
2372-HWUHI,44.35,81.25,Electronic check,No,2570
0390-DCFDQ,70.45,70.45,Mailed check,Yes,3964
4080-OGPJL,71.15,563.65,Electronic check,No,2662
2135-RXIHG,45.65,45.65,Electronic check,Yes,2600
3874-EQOEP,95.0,655.5,Mailed check,No,2786
0867-MKZVY,82.4,1592.35,Electronic check,No,5719
3376-BMGFE,70.9,273,Bank transfer (automatic),Yes,4287
3445-HXXGF,45.3,2651.2,Electronic check,Yes,5444
1875-QIVME,104.4,242.8,Electronic check,Yes,4690
0691-JVSYA,94.85,5000.2,Bank transfer (automatic),Yes,4328
2656-FMOKZ,74.45,1145.7,Mailed check,Yes,5717
2070-FNEXE,76.45,503.6,Bank transfer (automatic),No,4419
6317-YPKDH,29.95,29.95,Bank transfer (automatic),No,4534
9367-WXLCH,84.5,662.65,Bank transfer (automatic),No,2152
1918-ZBFQJ,79.25,1111.65,Electronic check,Yes,5142
1024-GUALD,24.8,24.8,Electronic check,Yes,4851
2472-OVKUP,91.0,531,Electronic check,Yes,2283
1285-OKIPP,79.9,79.9,Electronic check,No,3394
7825-ECJRF,106.6,1934.45,Electronic check,Yes,3764
7841-TZDMQ,46.0,84.5,Credit card (automatic),Yes,2667
9408-SSNVZ,70.15,268.35,Electronic check,Yes,2227
0742-MOABM,50.05,179.35,Mailed check,No,3394
2232-DMLXU,55.2,55.2,Mailed check,No,3638
8937-RDTHP,84.6,84.6,Mailed check,Yes,2484
1251-KRREG,54.4,114.1,Mailed check,Yes,2556
0094-OIFMO,95.0,1120.3,Electronic check,Yes,5980
9947-OTFQU,74.4,1074.3,Electronic check,Yes,4616
0322-YINQP,48.55,48.55,Mailed check,Yes,5687
4629-NRXKX,70.4,147.15,Electronic check,No,5687
9514-JDSKI,40.2,40.2,Electronic check,No,5828
4959-JOSRX,44.6,80.55,Credit card (automatic),Yes,4884
7273-TEFQD,41.15,132.2,Electronic check,Yes,2314
3606-TWKGI,106.9,1364.3,Electronic check,Yes,2494
6323-AYBRX,19.35,1099.6,Mailed check,No,5084
4385-GZQXV,94.45,1511.2,Electronic check,Yes,3810
6366-ZGQGL,24.8,24.8,Bank transfer (automatic),No,5087
5940-AHUHD,70.6,70.6,Mailed check,No,3338
6432-TWQLB,85.4,401.1,Electronic check,Yes,3676
4484-GLZOU,105.05,5624.85,Electronic check,Yes,4839
9512-UIBFX,95.15,1779.95,Mailed check,No,4643
5583-SXDAG,70.0,70,Electronic check,No,4094
3488-PGMQJ,74.5,606.55,Electronic check,Yes,4345
3580-REOAC,44.85,435.4,Credit card (automatic),Yes,4061
7534-BFESC,76.1,1712.7,Electronic check,Yes,2018
6390-DSAZX,73.6,73.6,Mailed check,Yes,2565
8098-LLAZX,95.45,396.1,Electronic check,Yes,3677
0265-EDXBD,74.9,2303.35,Electronic check,Yes,4105
7563-BIUPC,80.6,415.55,Electronic check,Yes,5715
2321-OMBXY,80.3,3058.65,Credit card (automatic),No,2071
2840-XANRC,93.15,2231.05,Electronic check,Yes,2212
5020-ZSTTY,82.45,4350.1,Bank transfer (automatic),No,4149
5804-LEPIM,70.35,139.05,Electronic check,Yes,2671
0122-OAHPZ,73.85,511.25,Electronic check,Yes,2473
2868-SNELZ,80.6,155.8,Mailed check,No,2683
4322-RCYMT,75.8,5293.95,Bank transfer (automatic),Yes,4903
6680-NENYN,104.6,4759.85,Electronic check,Yes,5250
1343-EHPYB,103.4,6603,Electronic check,Yes,4352
2034-GDRCN,90.4,168.2,Electronic check,Yes,4157
0219-YTZUE,84.8,371.9,Bank transfer (automatic),Yes,4939
0623-IIHUG,41.9,840.1,Electronic check,Yes,4778
4572-DVCGN,80.25,846,Bank transfer (automatic),Yes,3598
