CustomerID,Gender,Senior Citizen,Partner,Dependents,Country,State,City,Zip Code,Latitude,Longitude,Tenure Months,Contract
3668-QPYBK,Male,No,No,No,United States,California,Los Angeles,90003,33.964131,-118.272783,2,Month-to-month
9237-HQITU,Female,No,No,Yes,United States,California,Los Angeles,90005,34.059281,-118.30742,2,Month-to-month
9305-CDSKC,Female,No,No,Yes,United States,California,Los Angeles,90006,34.048013,-118.293953,8,Month-to-month
7892-POOKP,Female,No,Yes,Yes,United States,California,Los Angeles,90010,34.062125,-118.315709,28,Month-to-month
0280-XJGEX,Male,No,No,Yes,United States,California,Los Angeles,90015,34.039224,-118.266293,49,Month-to-month
4190-MFLUW,Female,No,Yes,No,United States,California,Los Angeles,90020,34.066367,-118.309868,10,Month-to-month
8779-QRDMV,Male,Yes,No,No,United States,California,Los Angeles,90022,34.02381,-118.156582,1,Month-to-month
1066-JKSGK,Male,No,No,No,United States,California,Los Angeles,90024,34.066303,-118.435479,1,Month-to-month
6467-CHFZW,Male,No,Yes,Yes,United States,California,Los Angeles,90028,34.099869,-118.326843,47,Month-to-month
8665-UTDHZ,Male,No,Yes,No,United States,California,Los Angeles,90029,34.089953,-118.294824,1,Month-to-month
8773-HHUOZ,Female,No,No,No,United States,California,Los Angeles,90032,34.078821,-118.177576,17,Month-to-month
6047-YHPVI,Male,No,No,Yes,United States,California,Los Angeles,90039,34.110845,-118.259595,5,Month-to-month
5380-WJKOV,Male,No,No,Yes,United States,California,Los Angeles,90041,34.137412,-118.207607,34,Month-to-month
8168-UQWWF,Female,No,No,Yes,United States,California,Los Angeles,90042,34.11572,-118.192754,11,Month-to-month
7760-OYPDY,Female,No,No,Yes,United States,California,Los Angeles,90056,33.987945,-118.370442,2,Month-to-month
9420-LOJKX,Female,No,No,Yes,United States,California,Los Angeles,90061,33.92128,-118.274186,15,Month-to-month
7495-OOKFY,Female,Yes,Yes,Yes,United States,California,Los Angeles,90063,34.044271,-118.185237,8,Month-to-month
1658-BYGOY,Male,Yes,No,Yes,United States,California,Los Angeles,90065,34.108833,-118.229715,18,Month-to-month
5698-BQJOH,Female,No,No,Yes,United States,California,Beverly Hills,90211,34.063947,-118.383001,9,Month-to-month
5919-TMRGD,Female,No,No,Yes,United States,California,Huntington Park,90255,33.97803,-118.217141,1,Month-to-month
9191-MYQKX,Female,No,Yes,Yes,United States,California,Lynwood,90262,33.923573,-118.200669,7,Month-to-month
8637-XJIVR,Female,No,No,Yes,United States,California,Marina Del Rey,90292,33.977468,-118.445475,12,Month-to-month
0278-YXOOG,Male,No,No,No,United States,California,Inglewood,90301,33.956445,-118.358634,5,Month-to-month
4598-XLKNJ,Female,Yes,Yes,Yes,United States,California,Inglewood,90303,33.936291,-118.332639,25,Month-to-month
3192-NQECA,Male,No,Yes,No,United States,California,Santa Monica,90403,34.031529,-118.491156,68,Two year
0486-HECZI,Male,No,Yes,Yes,United States,California,Torrance,90504,33.867257,-118.330794,55,Month-to-month
4846-WHAFZ,Female,Yes,Yes,Yes,United States,California,Whittier,90602,33.972119,-118.020188,37,Month-to-month
5299-RULOA,Female,No,Yes,Yes,United States,California,Whittier,90606,33.976678,-118.065875,10,Month-to-month
0404-SWRVG,Male,No,No,Yes,United States,California,La Habra,90631,33.940619,-117.9513,3,Month-to-month
4412-YLTKF,Female,Yes,No,Yes,United States,California,Pico Rivera,90660,33.989524,-118.089299,27,Month-to-month
6207-WIOLX,Female,No,Yes,No,United States,California,Avalon,90704,33.391181,-118.421305,25,Month-to-month
3091-FYHKI,Male,No,No,No,United States,California,Harbor City,90710,33.798266,-118.300237,1,Month-to-month
2372-HWUHI,Male,No,No,No,United States,California,Lakewood,90712,33.840524,-118.148403,2,Month-to-month
0390-DCFDQ,Female,Yes,Yes,Yes,United States,California,Los Alamitos,90720,33.79499,-118.065591,1,Month-to-month
4080-OGPJL,Female,No,No,No,United States,California,San Pedro,90731,33.736387,-118.284363,8,Month-to-month
2135-RXIHG,Male,No,No,No,United States,California,Carson,90745,33.822295,-118.26411,1,Month-to-month
3874-EQOEP,Male,No,No,Yes,United States,California,Long Beach,90804,33.783047,-118.1486,7,Month-to-month
0867-MKZVY,Female,No,Yes,Yes,United States,California,Altadena,91001,34.196837,-118.142236,20,Month-to-month
3376-BMGFE,Female,No,No,Yes,United States,California,Monrovia,91016,34.1528,-118.000482,4,Month-to-month
3445-HXXGF,Male,Yes,Yes,No,United States,California,Sierra Madre,91024,34.168686,-118.057505,58,Month-to-month
1875-QIVME,Female,No,Yes,Yes,United States,California,Tujunga,91042,34.296574,-118.244839,2,Month-to-month
0691-JVSYA,Female,No,Yes,No,United States,California,Pasadena,91103,34.167465,-118.165327,53,One year
2656-FMOKZ,Female,Yes,No,Yes,United States,California,Pasadena,91106,34.139402,-118.128658,15,Month-to-month
2070-FNEXE,Female,Yes,No,Yes,United States,California,Pasadena,91107,34.159007,-118.087353,7,Month-to-month
6317-YPKDH,Female,No,No,No,United States,California,Glendale,91202,34.167926,-118.267539,1,Month-to-month
9367-WXLCH,Male,No,No,Yes,United States,California,Glendale,91204,34.136306,-118.26036,8,Month-to-month
1918-ZBFQJ,Female,No,No,Yes,United States,California,Glendale,91206,34.162515,-118.203869,13,Month-to-month
1024-GUALD,Female,No,Yes,No,United States,California,Glendale,91207,34.182378,-118.262922,1,Month-to-month
2472-OVKUP,Male,No,Yes,Yes,United States,California,Canoga Park,91304,34.224377,-118.632656,6,Month-to-month
1285-OKIPP,Male,No,No,Yes,United States,California,Mission Hills,91345,34.266389,-118.459744,1,Month-to-month
7825-ECJRF,Female,No,No,Yes,United States,California,Santa Clarita,91350,34.502432,-118.41459,19,Month-to-month
7841-TZDMQ,Male,No,No,No,United States,California,Sun Valley,91352,34.231053,-118.338307,2,Month-to-month
9408-SSNVZ,Female,No,No,Yes,United States,California,Stevenson Ranch,91381,34.364153,-118.615583,4,Month-to-month
0742-MOABM,Male,No,Yes,No,United States,California,Panorama City,91402,34.223768,-118.445461,4,Month-to-month
2232-DMLXU,Female,No,Yes,No,United States,California,Van Nuys,91411,34.17847,-118.459472,1,Month-to-month
8937-RDTHP,Male,No,No,Yes,United States,California,Burbank,91504,34.213049,-118.317651,1,Month-to-month
1251-KRREG,Male,No,No,No,United States,California,North Hollywood,91601,34.1692,-118.372498,2,Month-to-month
0094-OIFMO,Female,Yes,No,Yes,United States,California,North Hollywood,91605,34.207295,-118.400022,11,Month-to-month
9947-OTFQU,Male,Yes,No,No,United States,California,Covina,91722,34.097345,-117.906736,15,Month-to-month
0322-YINQP,Male,No,No,No,United States,California,Covina,91723,34.084747,-117.886844,1,Month-to-month
4629-NRXKX,Female,No,Yes,No,United States,California,El Monte,91731,34.079934,-118.046695,2,Month-to-month
9514-JDSKI,Male,Yes,Yes,No,United States,California,El Monte,91732,34.074492,-118.01462,1,Month-to-month
4959-JOSRX,Female,No,Yes,No,United States,California,La Puente,91744,34.031441,-117.936436,2,Month-to-month
7273-TEFQD,Male,Yes,No,No,United States,California,La Puente,91746,34.038983,-117.991372,3,Month-to-month
3606-TWKGI,Male,Yes,No,No,United States,California,Rowland Heights,91748,33.976753,-117.897367,13,Month-to-month
6323-AYBRX,Male,No,No,No,United States,California,Ontario,91762,34.057256,-117.667677,59,Two year
4385-GZQXV,Female,Yes,No,No,United States,California,Ontario,91764,34.074087,-117.605618,16,Month-to-month
6366-ZGQGL,Male,No,No,No,United States,California,Pomona,91766,34.042286,-117.756106,1,Month-to-month
5940-AHUHD,Male,No,No,No,United States,California,Pomona,91768,34.067932,-117.785168,1,Month-to-month
6432-TWQLB,Male,No,Yes,No,United States,California,Rosemead,91770,34.065108,-118.082791,5,Month-to-month
4484-GLZOU,Female,No,Yes,No,United States,California,San Dimas,91773,34.102119,-117.815532,52,Month-to-month
9512-UIBFX,Male,No,Yes,No,United States,California,West Covina,91791,34.061634,-117.893169,18,Month-to-month
5583-SXDAG,Male,No,Yes,No,United States,California,Alhambra,91803,34.074736,-118.145959,1,Month-to-month
3488-PGMQJ,Male,Yes,No,No,United States,California,Alpine,91901,32.827184,-116.703729,8,Month-to-month
3580-REOAC,Male,No,No,No,United States,California,Bonita,91902,32.67117,-117.00232,10,Month-to-month
7534-BFESC,Male,Yes,No,No,United States,California,Boulevard,91905,32.677097,-116.304991,24,Month-to-month
6390-DSAZX,Female,No,No,No,United States,California,Guatay,91931,32.857946,-116.561917,1,Month-to-month
8098-LLAZX,Female,Yes,No,No,United States,California,Jacumba,91934,32.649787,-116.2237,4,Month-to-month
0265-EDXBD,Male,Yes,Yes,No,United States,California,Mount Laguna,91948,32.830852,-116.444601,32,Month-to-month
7563-BIUPC,Male,No,No,No,United States,California,Borrego Springs,92004,33.200369,-116.192313,5,Month-to-month
2321-OMBXY,Female,No,Yes,No,United States,California,Carlsbad,92009,33.098018,-117.258203,38,One year
2840-XANRC,Male,Yes,Yes,No,United States,California,Del Mar,92014,32.948262,-117.256086,24,Month-to-month
5020-ZSTTY,Female,Yes,No,No,United States,California,El Cajon,92020,32.79697,-116.969082,54,One year
5804-LEPIM,Female,Yes,No,No,United States,California,Escondido,92029,33.079834,-117.134275,2,Month-to-month
0122-OAHPZ,Female,No,No,No,United States,California,Oceanside,92057,33.254497,-117.285879,7,Month-to-month
2868-SNELZ,Female,No,No,No,United States,California,Pala,92059,33.384345,-117.072619,2,Month-to-month
4322-RCYMT,Male,No,Yes,No,United States,California,Palomar Mountain,92060,33.309852,-116.823091,68,One year
6680-NENYN,Female,No,No,No,United States,California,Pauma Valley,92061,33.313828,-116.940501,43,Two year
1343-EHPYB,Male,No,Yes,No,United States,California,Ranchita,92066,33.215251,-116.53633,63,Month-to-month
2034-GDRCN,Female,No,No,No,United States,California,Valley Center,92082,33.25283,-116.986079,2,Month-to-month
0219-YTZUE,Male,No,Yes,No,United States,California,San Diego,92103,32.747484,-117.166877,4,Month-to-month
0623-IIHUG,Female,Yes,No,No,United States,California,San Diego,92104,32.741499,-117.127409,21,Month-to-month
4572-DVCGN,Female,No,No,No,United States,California,San Diego,92105,32.741859,-117.090353,10,Month-to-month
9057-MSWCO,Male,Yes,Yes,No,United States,California,San Diego,92108,32.774046,-117.142454,27,Month-to-month
1010-DIAUQ,Male,No,No,No,United States,California,San Diego,92116,32.765299,-117.122565,5,Month-to-month
0259-GBZSH,Male,No,No,No,United States,California,San Diego,92122,32.85723,-117.209774,2,Month-to-month
9601-BRXPO,Female,No,Yes,No,United States,California,San Diego,92129,32.961064,-117.134917,25,Month-to-month
6905-NIQIN,Male,No,No,No,United States,California,San Diego,92154,32.578103,-117.012975,1,Month-to-month
5167-ZFFMM,Male,No,No,No,United States,California,Indio,92201,33.713891,-116.237257,1,Month-to-month
4895-TMWIR,Male,Yes,Yes,No,United States,California,Indian Wells,92210,33.537646,-116.291089,11,Month-to-month
0533-BNWKF,Female,Yes,Yes,No,United States,California,Palm Desert,92211,33.762759,-116.324817,55,Month-to-month
6599-CEBNN,Female,No,No,No,United States,California,Desert Hot Springs,92240,33.948558,-116.516976,34,Month-to-month
0979-PHULV,Male,No,Yes,No,United States,California,Holtville,92250,32.811001,-115.152865,69,Month-to-month
4800-VHZKI,Female,No,No,No,United States,California,Niland,92257,33.345825,-115.596574,1,Month-to-month
7989-CHGTL,Male,No,No,No,United States,California,North Palm Springs,92258,33.906496,-116.569499,1,Month-to-month
0334-GDDSO,Male,Yes,No,No,United States,California,Ocotillo,92259,32.698964,-115.886656,3,Month-to-month
0578-SKVMF,Female,No,Yes,No,United States,California,Seeley,92273,32.790282,-115.689559,22,Month-to-month
5564-NEMQO,Female,Yes,No,No,United States,California,Thermal,92274,33.53604,-116.119222,1,Month-to-month
9063-ZGTUY,Female,No,Yes,No,United States,California,Adelanto,92301,34.667815,-117.536183,61,Month-to-month
2957-LOLHO,Male,No,No,No,United States,California,Apple Valley,92307,34.55082,-117.122396,12,Month-to-month
7752-XUSCI,Female,No,No,No,United States,California,Crestline,92325,34.248061,-117.29028,60,Month-to-month
4110-PFEUZ,Female,No,No,No,United States,California,Daggett,92327,34.875144,-116.821698,1,Month-to-month
0256-LTHVJ,Female,No,Yes,No,United States,California,Ludlow,92338,34.702766,-116.093376,28,Month-to-month
0880-TKATG,Male,No,Yes,No,United States,California,Lucerne Valley,92356,34.508417,-116.856103,4,Month-to-month
3811-VBYBZ,Male,No,No,No,United States,California,Lytle Creek,92358,34.238162,-117.534306,7,Month-to-month
4640-UHDOS,Female,No,Yes,No,United States,California,Phelan,92371,34.441123,-117.537886,13,Month-to-month
3583-EKAPL,Male,No,No,No,United States,California,Redlands,92373,34.003243,-117.138286,1,Month-to-month
9399-APLBT,Female,No,Yes,No,United States,California,Rialto,92377,34.156758,-117.404686,1,Month-to-month
2359-KMGLI,Male,No,No,No,United States,California,Running Springs,92382,34.186211,-117.07683,24,Month-to-month
0306-JAELE,Male,No,No,No,United States,California,Tecopa,92389,35.824572,-116.274755,5,Month-to-month
6227-HWPWX,Female,No,No,No,United States,California,Victorville,92392,34.486835,-117.362274,15,Month-to-month
0447-BEMNG,Female,No,Yes,No,United States,California,Wrightwood,92397,34.358321,-117.618263,48,Month-to-month
5949-XIKAE,Female,No,Yes,No,United States,California,San Bernardino,92401,34.105935,-117.2914,8,Month-to-month
8372-JUXUI,Male,No,No,No,United States,California,San Bernardino,92410,34.106922,-117.297553,1,Month-to-month
0388-EOPEX,Female,No,Yes,No,United States,California,Riverside,92503,33.890046,-117.455583,2,Month-to-month
8205-OTCHB,Male,No,No,No,United States,California,Riverside,92506,33.930931,-117.361788,22,One year
6235-VDHOM,Female,Yes,No,No,United States,California,Riverside,92509,34.004379,-117.447864,5,Month-to-month
7783-YKGDV,Female,No,No,No,United States,California,March Air Reserve Base,92518,33.888323,-117.277533,12,Month-to-month
5609-CEBID,Female,Yes,No,No,United States,California,Hemet,92544,33.644585,-116.871544,20,Month-to-month
7218-HKQFK,Male,No,Yes,No,United States,California,Homeland,92548,33.761894,-117.120868,2,Month-to-month
4636-QRJKY,Female,No,Yes,No,United States,California,Idyllwild,92549,33.755039,-116.741796,6,Month-to-month
5956-VKDTT,Female,Yes,Yes,No,United States,California,Moreno Valley,92557,33.970661,-117.255039,5,Month-to-month
9412-GHEEC,Male,No,No,No,United States,California,Murrieta,92563,33.581045,-117.14719,40,Month-to-month
0257-ZESQC,Female,Yes,Yes,No,United States,California,Perris,92571,33.828289,-117.201666,27,Month-to-month
6825-UYPFK,Female,No,No,No,United States,California,Sun City,92586,33.707483,-117.200006,23,Month-to-month
8397-MVTAZ,Male,No,Yes,No,United States,California,Sun City,92587,33.69887,-117.25071,34,Month-to-month
9282-IZGQK,Female,No,No,No,United States,California,Irvine,92612,33.643095,-117.810896,1,Month-to-month
1342-JPNKI,Male,No,No,No,United States,California,Lake Forest,92630,33.644849,-117.684254,10,Month-to-month
2817-NTQDO,Male,No,No,No,United States,California,Huntington Beach,92646,33.666301,-117.969501,13,Month-to-month
6986-IJDHX,Male,No,Yes,No,United States,California,Huntington Beach,92648,33.679659,-118.016195,39,Month-to-month
5301-GAUUY,Male,No,No,No,United States,California,Newport Beach,92661,33.601309,-117.902304,32,Month-to-month
0939-YAPAF,Female,No,No,No,United States,California,Santa Ana,92701,33.748478,-117.858918,35,Month-to-month
4710-FDUIZ,Male,No,Yes,No,United States,California,Santa Ana,92707,33.714829,-117.872941,56,One year
1218-VKFPE,Female,No,Yes,No,United States,California,Anaheim,92805,33.830209,-117.906099,12,Month-to-month
3627-FHKBK,Female,No,No,No,United States,California,Anaheim,92806,33.83796,-117.870494,1,Month-to-month
2865-TCHJW,Female,Yes,No,No,United States,California,Anaheim,92807,33.848733,-117.788357,4,Month-to-month
5192-EBGOV,Female,Yes,No,No,United States,California,Brea,92823,33.924143,-117.79387,1,Month-to-month
0719-SYFRB,Female,No,No,No,United States,California,Norco,92860,33.925833,-117.559639,12,Month-to-month
3419-SNJJD,Female,Yes,Yes,No,United States,California,Yorba Linda,92887,33.884073,-117.732197,65,Month-to-month
6543-CPZMK,Male,No,Yes,No,United States,California,Ventura,93001,34.360261,-119.306383,9,Month-to-month
4765-OXPPD,Female,No,Yes,No,United States,California,Ventura,93003,34.279221,-119.221437,9,Month-to-month
