CustomerID,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Churn Label,Churn Value,Churn Score,Churn Reason
3668-QPYBK,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,1,86,Competitor made better offer
9237-HQITU,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,67,Moved
9305-CDSKC,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,86,Moved
7892-POOKP,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,1,84,Moved
0280-XJGEX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,89,Competitor had better devices
4190-MFLUW,Yes,No,DSL,No,No,Yes,Yes,No,No,Yes,1,78,Competitor offered higher download speeds
8779-QRDMV,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes,1,100,Competitor offered more data
1066-JKSGK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,92,Competitor made better offer
6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,1,77,Competitor had better devices
8665-UTDHZ,No,No phone service,DSL,No,Yes,No,No,No,No,Yes,1,97,Competitor had better devices
8773-HHUOZ,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,1,74,Competitor offered higher download speeds
6047-YHPVI,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,66,Competitor offered higher download speeds
5380-WJKOV,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,65,Competitor offered higher download speeds
8168-UQWWF,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1,70,Competitor offered more data
7760-OYPDY,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,1,90,Competitor offered more data
9420-LOJKX,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,1,82,Competitor offered more data
7495-OOKFY,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,1,69,Competitor made better offer
1658-BYGOY,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,81,Competitor made better offer
5698-BQJOH,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,1,96,Price too high
5919-TMRGD,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,1,87,Product dissatisfaction
9191-MYQKX,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,1,70,Service dissatisfaction
8637-XJIVR,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,1,86,Lack of self-service on Website
0278-YXOOG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1,66,Network reliability
4598-XLKNJ,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1,88,Limited range of services
3192-NQECA,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,1,86,Lack of affordable download/upload speed
0486-HECZI,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,1,75,Long distance charges
4846-WHAFZ,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,67,Extra data charges
5299-RULOA,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,1,87,Price too high
0404-SWRVG,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,1,76,Product dissatisfaction
4412-YLTKF,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,1,95,Service dissatisfaction
6207-WIOLX,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,1,99,Lack of self-service on Website
3091-FYHKI,No,No phone service,DSL,No,No,No,No,No,Yes,Yes,1,80,Network reliability
2372-HWUHI,Yes,No,DSL,No,No,No,No,No,No,Yes,1,76,Don't know
0390-DCFDQ,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,1,76,Don't know
4080-OGPJL,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,1,66,Don't know
2135-RXIHG,Yes,No,DSL,No,No,No,No,No,No,Yes,1,73,Poor expertise of online support
